startup_name,vertical,subvertical,location,investors_name,investment_type,amount_in_usd
Front Desk AI,Technology,An AI Platform Offering Automated Customer Service Software,Bangalore,Speciale Invest & Others,Seed/ Angel Funding,1100000.0
Edureka,Ed-Tech,Online Education Platform,Bangalore,Leo Capital,Seed/ Angel Funding,2000000.0
OpenTap,Finance,Online Lending Platform,Chennai,Unknown High Net-Worth Individuals,Seed / Angel Funding,450000.0
Bizongo,Consumer Internet,Aggregator For Packaging Material,Mumbai,"B Capital, International Finance Corporation (IFC), Accel Partners and IDG Ventures",Private Equity,22000000.0
Disprz,IT,SaaS,Chennai,"IL&FS Private Equity, Kae Capital & Others",Seed / Angel Funding,2500000.0
PaisaDukan,Consumer Internet,P2P Lending Platform,Mumbai,,Seed / Angel Funding,225000.0
i3sysytems,Technology,AI product company For Health and Life Insurane Companies,Mumbai,"Unitus Ventures, Behram Vakil and Jerxis Vandrevala",Seed / Angel Funding,1000000.0
Earth Food,Consumer Internet,Agri-tech,Pune,Rairah Corporation,Seed / Angel Funding,949000.0
Nykaa,Consumer Internet,Beauty e-tailer,Mumbai,"Sunil Munjal, Harsh Mariwala, Dalip Pathak and Others",Private Equity,24000000.0
mfine,Healthcare,Doctor-Consultation App,Bangalore,"Prime Venture Partners, Stellaris Venture Partners and Mayur Abhaya Srisrimal",Private Equity,4200000.0
Rocketium,Technology,Online Video Creation Platform,Bangalore,Blume ventures,Seed/ Angel Funding,300000.0
MilkBasket,Technology,Micro-Delivery Grocery Startup,Gurugram,"Kalaari Capital, Unilever Ventures and Blume Ventures",Private Equity,7000000.0
Vola,Finance,Micro Lending Platform,Bangalore,Credika and unnamed angel investors,Seed/ Angel Funding,500000.0
Cashkumar,Consumer Internet,P2P Lending Platform,Bangalore,LetsVenture,Seed/ Angel Funding,735000.0
Edyoo,E-Commerce,Products For Shoolgoing Children,Bangalore,RS Shanbag,Seed/ Angel Funding,735000.0
Aashiyaan,Finance,Housing Finance For Low-Income Families,Kolkata,"Insistor, Oikocredit",Seed/ Angel Funding,2000000.0
Smartivity,Ed-tech,Designer Of Toys and Learning Projects For Kids,Delhi,"Ashish Kacholi, S Chand Group",Seed/ Angel Funding,2000000.0
Bonphulapl,Clean-tech,Oxygen Optimiser Manufacturer,Delhi,Atul Gupta and Saurabh Rastogi,Seed/ Angel Funding,293000.0
Acko,Consumer Internet,Online Insurance Platform,Mumbai,"Amazon, Ashish Dhawan, Catamaran Ventures, NR Narayana Murthy.",Seed/ Angel Funding,12000000.0
HWell24,Healthcare,Home Healthcare Aggregator,Mumbai,"Prashant Mehta, Mitali Pawar, Nikhil G and Bhavesh P, R Ranganathan, ONCOTRUST and Medintel Services Pvt. Ltd",Seed/ Angel Funding,200000.0
Toffee,Consumer Internet,Online Insurance Platform,Gurugram,"Kalaari Capital, Omidyar Network and Accion Venture Labs",Seed/ Angel Funding,1500000.0
Tonetag,Technology,Mobile Payments Technology Platform,Bangalore,Amazon Inc. and Mastercard,Private Equity,8000000.0
Stellaps,Technology,Iot Application Platform In Agriculture,Bangalore,"IndusAge Partners, Bill & Melinda Gates Foundation, Qualcomm Venture, ABB Technology Ventures, Omnivore, Blume Ventures, Venture Highway and BEENEXT",Private Equity,14000000.0
Credright,Consumer Internet,Lending Platform For SMEs,Hyderabad,"Accion Venture Lab, YourNest Venture Capital And Other Angel Investors",Seed/ Angel Funding,1300000.0
Fitternity,Consumer Internet,Online Fitness Discovey Platform,Mumbai,"Exfinity Venture, Saha fund Partners, Arihant Patni of Patni Family Office, Anjali Bansal, Shardul Amarchand Mangaldas, Satish Khanna and Taparia family office.",Private Equity,2000000.0
Synctag,Technology,Social Media Anlaytics Platform,Coimbatore,Subhkam Ventures and Mohit Khadaria,Seed / Angel Funding,307600.0
Finzy,Consumer Internet,Online Loan Matchmaking Platform,Bangalore,,Seed / Angel Funding,1300000.0
Varthana,Finance,Loans and Services To Affordable Private Schools in India,Bangalore,"ChrysCapital, Existing investors, Elevar Equity, LGT Impact, Omidyar Network and Kaizen Private Equity also participated in the round",Private Equity,55000000.0
IndigoLearn,Ed-Tech,Online Education Platform,Hyderabad,"Maheshwar Peri, founder and chairman of career information portal Careers360, and Jamshed Jeejeebhoy, director at Byramjee Jeejeebhoy Pvt. Ltd were among the angels",Seed / Angel Funding,150000.0
Vedantu,Ed-Tech,Interactive Online Tutoring Platform,Bangalore,"Accel Partners, Tiger Global And Others",Private Equity,10000000.0
Kaleidofin,Fiinance,Digital Financial Services Platform,Chennai,Omidyar Network. Blume Ventures and Professor Shlomo Ben-Haim,Seed / Angel Funding,2800000.0
Pipabella,Consumer Internet,Fashion Accessories Etailer,Mumbai,Fireside Ventures,Seed / Angel Funding,1000000.0
Kriger Campus,Ed-Tech,Mobile-Based Education Network,Delhi,,Seed / Angel Funding,46140.0
TravelTriangle,Consumer Internet,Online Travel Marketplace,Gurugram,"Fundamentum, SAIF Partners, Bessemer Venture Partners, RB investments & Others",Private Equity,12000000.0
Letsmd,Healthcare,Platform To Discover Healthcare Financing Options,Delhi,"SRI Capital, Waterbridge Ventures and ThinKuvate",Seed / Angel Funding,1000000.0
AyeFinance,Finance,Online Lending Platform,Gurugram,"BlueOrchard Finance Ltd, Hinduja Leyland Finance and IntelleGrow",Debt Funding,4600000.0
mintifi,Finance,Online Lending Platform,Mumbai,Lok Capital,Seed / Angel Funding,2000000.0
icanstay,Consumer Internet,Online Platform For Luxury Hotel Stay For Business Travelers,Delhi,Mr. Manoj Prasad,Seed / Angel Funding,500000.0
Coverfox,Consumer Internet,Online Insurance Aggregator,Mumbai,"International Finance Corporation, Transamerica and others.",Private Equity,22000000.0
Fyle Technologies,Technology,AI Based Expense Management Platform,Bangalore,Pravega Ventures and Beenext,Seed / Angel Funding,1100000.0
True Balance,Technology,Mobile Balance Checking App,Gurugram,"Line Ventures Corporation, Line Corp, Naver, Shinhan Bank and TS Investment",Private Equity,23000000.0
Doxper,Healthcare,Digitized Health-Tech Solutions For Practitioners,Mumbai,Vidal Healthcare,Seed / Angel Funding,1900000.0
Nykaa,Consumer Internet,Beauty e-tailer,Mumbai,"Sunil Munjal, Harsh Mariwala, Dalip Pathak and Others",Private Equity,11000000.0
Mihuru,Finance,Online Platform Providing Micro Loans For Air Travel,Mumbai,,Seed / Angel Funding,150000.0
Capital Float,Finance,Online Lending Platform,Bangalore,Amazon,Private Equity,22000000.0
Trip shelf,Consumer Internet,Online Travel Marketplace,Delhi,"GEMS Advisory, Alok Mittal and Sachin Bhatia",Seed / Angel Funding,246000.0
POPxo,Technology,Women Focussed Digital Media Platform,Delhi,"Neoplux, OPPO, IDG Ventures India, Kalaari Capital, GREE Ventures and Summit Media",Private Equity,5500000.0
1mg,Consumer Internet,Online Pharmacy Store,Gurugram,"Sequoia Capital, Maverick Capital Ltd and HBM Healthcare Investments Ltd",Private Equity,10000000.0
Samco,Consumer Internet,Online Stock Broker,Mumbai,Bay Capital Investments and Others,Private Equity,7500000.0
MyLoanCare,Finance,B2C Online Loans Marketplace,Gurgaon,SAR Group,Seed / Angel Funding,978000.0
Buddy4studdy,Consumer Internet,Online Scholarship Portal,Noida,CBA Capital and others,Private Equity,3000000.0
Urban Ladder,E-Commerce,Online Furniture Store,Bangalore,"Sequoia Capital, SAIF Partners and Kalaari capital",Private Equity,12000000.0
Kuvera,Consumer Internet,Online Financial Planning,Bangalore,"Baskar Subramanian, Saket Kumar, Gaurav Suri and Ankit Kesarwani",Seed / Angel Funding,250000.0
Gramophone,Technology,Agri-tech,Indore,InfoEdge,Seed/Angel Funding,1000000.0
Wellthy,Healthcare,Therapeutics,Mumbai,"Ranjan Pai, Apoorva Patni, Beenext Ventures,GrowX Ventures",Private Equity,2100000.0
MedGenome,Healthcare,"Genetic Screening, DNA Diagnostics Labs & Research Centers",Bangalore,"HDFC Life, HDFC Asset Management",Private Equity,10000000.0
Finova Capital,Consumer Internet,Online Lending,Jaipur,Sequoia Capital,Private Equity,6000000.0
Hotelogix,Technology,Cloud based Online Hotel Management Software,Noida,"Vertex Ventures, Accel Partners and Saama Capital",Private Equity,5000000.0
Livehealth,Consumer Internet,Health Service Aggregator Platform,Pune,Nexus Venture Partners,Seed / Angel Funding,1100000.0
Ad2pro,Technology,"Creative Design, Brand, Media and Technology Platform Solutions",Chennai,Avendus Finance Pvt. Ltd,Debt Funding,9700000.0
Coverfox,Consumer Internet,Online Insurance Aggregator,Mumbai,Aegon NV,Private Equity,7600000.0
Pepperfry,Consumer Internet,Online Furniture Shopping Store,Mumbai,State Street Global Advisors,Private Equity,38400000.0
Magicpin,Consumer Internet,Hyperlocal Discovery,Gurugram,Trifecta Capital,Debt Funding,1000000.0
HealthCare,Consumer Internet,Healthcare Aggregator,Mumbai,HR Fund,Seed / Angel Funding,1000000.0
PineLabs,Technology,Digital Payment Platform,Mumbai,"Actis, Altimeter Capital",Private Equity,82000000.0
AvailFinance,Consumer Internet,Online Lending Platform,Bangalore,"Matrix Partners, Bhavish Aggarwal, Ankit Bhati, Binny Bansal, Kunal Shah and Manish Patel.",Private Equity,17200000.0
Grofers,Consumer Internet,Online Grocery Shop,Gurugram,"SoftBank, Tiger Global and Apoletto Managers.",Private Equity,62000000.0
Fingerlix,Consumer Internet,Ready To cook Food Solution,Mumbai,Alteria Capital,Debt Funding,1310000.0
Karma Healthcare,Healthcare,Technology enabled equitable healthcare for India,Udaipur,"1Crowd, Ankur Capital",Seed / Angel Funding,500000.0
Zappfresh,Food & Beverages,Online Raw Meat E-tailer,Gurugram,"Amit Burman, SIDBI Venture Capital",Seed / Angel Funding,3000000.0
CustomerSucessBox,Technology,Customer Success Software for B2B SaaS,Gurugram,"Pi Ventures, Axilor Ventures",Seed / Angel Funding,1000000.0
Chargebee,Technology,Subscription Billing & Recurring Payments Software,Chennai,"Insight Venture Partners, Accel Partners and Tiger Global Management.",Private Equity,18000000.0
i2i Funding,Consumer Internet,Online loan platform,Noida,SucSEED Venture Partners,Seed / Angel Funding,768000.0
Slang Labs,Technology,Voice-based assistant platform,Bangalore,Endiya Partners,Seed / Angel Funding,1240000.0
Cash Suvidha,Consumer Internet,Online loan platform,Delhi,"Initia Holdings,Vipin Agarwal and others.",Seed / Angel Funding,1000000.0
Roadcast,Technology,Fleet management and asset monitoring platform,Delhi,,Private Equity,250000.0
Smartcoin,Finance,Micro lending company,Bangalore,"Accion Venture Lab, Unicorn India Ventures and ISME ACE.",Seed / Angel Funding,2000000.0
The Print,Media,News portal,Delhi,Ratan Tata,Seed / Angel Funding,535000.0
DriveU,Technology,Professional Car Drivers Hiring App,Bangalore,Amit Singhal and Unitus Seed Fund,Private Equity,3000000.0
BigBasket,Consumer Internet,Online Grocery & Food Store,Bangalore,"Alibaba, Helion Venture Partners, Bessemer Venture Partners, Ascent Capital",Private Equity,300000000.0
Zomato,Food and Beverages,Food Ordering and Restaurant Discovery,Gurugram,Ant Financials,Private Equity,200000000.0
Pratilipi,Publishing,E-Publishing,Bangalore,Omidyar Network,Private Equity,4300000.0
Asia Institute Of Medical Science,Healthcare,Super-specialty Hospital,Faridabad,CDC Group Plc,Private Equity,21000000.0
CollegeDekho,Consumer Internet,Online platform for Higher Education Services,Gurugram,"Man Capital LLP, Girnar Software, Others",Private Equity,2000000.0
Healthi,Healthcare,Preventive Health Checkup,Bangalore,Montane Ventures,Private Equity,3100000.0
Swiggy,Food and Beverages,Online Food Delivery,Bangalore,Naspers,Private Equity,100000000.0
Shape,Healthcare,"Online Portal for Diet,fitness and Beauty",Pune,Sandeep Mathur,Seed / Angle Funding,100000000.0
Icertis,Consumer Internet,Enterprise Contract Management Platform,Pune,Meritech Capital Partners,Private Equity,50000000.0
healthifyme,Healthcare,Mobile Weight Loss Coach,Bangalore,Sistema Asia Fund,Private Equity,12000000.0
Rupeek,Consumer Internet,Online Gold Loan,Bangalore,"Accel Partners, Sequoia Capital",Private Equity,6830000.0
Lendingkart,Finance,Online Lending Platform,Bangalore,Fullerton Financial Holdings Pte Ltd & Others,Private Equity,87000000.0
Cashify,E-Commerce,Online Selling,Gurugram,Trifecta Capital,Debt Funding,935089.0
holachef,Food and Beverages,Online Food Delivery,Mumbai,Ashok Kumar Gajera,Seed / Angle Funding,311200.0
IMAX Program,Ed-Tech,Individualised Progressive Learning Program,Bangalore,"Michael & Susan Dell Foundation, LGT Impact Ventures",Private Equity,13500000.0
Littlemore,Ed-Tech,Online Education Platform,Chennai,Kalpavriksh,Private Equity,3000000.0
Toppr,Ed-Tech,Online Education Platform,Mumbai,Axis Capital Partners,Private Equity,100000.0
Shirsa Labs,Ed-Tech,Integrated Kids Engagement Company,Mumbai,"Dewang Neralla, Mahesh Kothurkar,Atul Agarwal",Private Equity,500000.0
MoneyOnMobile,Technology,mobile payment platform,Mumbai,S7 Group,Private Equity,5000000.0
PetSutra,Consumer Internet,Online Pet Care Products,Gurugram,Michael Patrick Hickey,Seed / Angel Funding,148434.0
Infibeam,E-Commerce,Online Retailing,Ahemadabad,Network 18,Private Equity,6230000.0
happay,Finance,Expense Management,Bangalore,Sequoia and Jerry Yang,Seed / Angel Funding,250000.0
Fincash,Finance,Fin-Tech,Mumbai,"Mohammed Khan, Sameer Narayan & Others",Seed / Angel Funding,150000.0
AyeFinance,Finance,Online Lending,Gurugram,"Hinduja Leyland Finance, IntelleGrow",Private Equity,3800000.0
Agricxlab,Agriculture,Agri-tech,Mumbai,Ankur Capital,Seed / Angel Funding,500000.0
Udaan,E-Commerce,B2B Marketplace,Bangalore,Lightspeed & Yuri Milner,Private Equity,50000000.0
Capillary,IT,SaaS,Bangalore,"Wargburg Pincus, Sequoia",Private Equity,20000000.0
The Healthy Billions,Healthcare,Analytics,Gurugram,"Blume Ventures, HealthQuad and Fireside Ventures",Private Equity,2100000.0
Avishkaar Box,Ed-Tech,Education,Delhi,Auxano Deals,Private Equity,772500.0
Planys Technologies,Technology,Robotic InspectionStartup,Chennai,"Kris Gopalakrishnan, Pratithi Investment Trust, MEMG Family Office, S Gopal",Private Equity,1040000.0
Trilyo,Technology,AI platform for hospitality industry,Mumbai,"Startup Buddy,Amit Manocha and others",Seed / Angel Funding,250000.0
Gaana,Technology,Online Music Streaming,Gurugram,"Tencent Holdings Ltd, Times Internet",Private Equity,115000000.0
Credy,IT,SaaS,Bangalore,"Y Combinator, Khosla Ventures, Vy Capital and others",Seed / Angel Funding,1400000.0
EarlySalary,Finance,Online Lending,Pune,Eight Roads Ventures India,Private,15700000.0
Lendingkart,Finance,Online Lending,Ahmedabad,Nederlandse Financierings-Maatschappij voor Ontwikkelingslanden N.V.,Debt Funding,4700000.0
Kinsane Entertainment Inc,Entertainment,Digital Entertainment for Children,Mumbai,,Seed/Angel Funding,2500000.0
Tapzo,Technology,Personal Assistant,Bangalore,RuNet & Other,Private Equity,1930000.0
Appario Retail Pvt Ltd.,E-commerce,Retail,Delhi,Amazon-Patni JV,Private Equity,18840000.0
Samunnati,Finance,Agricultural Loan,Chennai,"responsAbility, Elevar Equity and Accel Partners",Private Equity,23500000.0
Sahajanand Medical Technologies,Technology,Medical Devices,Surat,Morgan Stanley Private Equity Asia,Private Equity,36230000.0
Kuants,Technology,Algorithmic Trading,Gurgaon,"Pankaj Chopra, Ankush Gupta",Angel / Seed Funding,80000.0
Razorpay,Technology,Payment Gateway,Bangalore,"Tiger Global, Y Combinator",Private Equity,20000000.0
Streak,Technology,Algorithmic Trading,Bangalore,"Indian fintech fund, Rainmatter",Angel / Seed Funding,354600.0
pi Ventures,Finance,Venture Capital,Bangalore,"Sunil Kant Munjal, Hero Electronix\\xe2\\x80\\x99s corporate financing arm, Electronic Development Fund",Private Equity,25000000.0
Newgen Software,Technology,IT,New Delhi,"Goldman Sachs, hedge fund & Others",Private Equity,20000000.0
Rubix,Technology,Education,Pune,Polaris Fund,Private Equity,1000000.0
ShareChat,Technology,Social,Bangalore,"Xiaomi Singapore, Shunwei Capital",Private Equity,18200000.0
Paperflite,Technology,IT,Chennai,The Chennai Angels,Angel / Seed Funding,400000.0
HungerBox,Consumer Internet,Food and Beverages,Bangalore,Lionrock Capital,Private Equity,2500000.0
OptaCredit,Finance,Alternative Lending,Chennai,DMI Finance,Private Equity,4000000.0
AEON Learning,Technology,Education,Bangalore,Dr. Ranjan Pai,Private Equity,3200000.0
Milkbasket,E-commerce,Online Grocery,Gurugram,Unilever Ventures,Private Equity,3000000.0
NeoGrowth Credit,Finance,Digital Lending,Mumbai,"LeapFrog Investments, Aspada Investment, Quona Capital",Private Equity,47000000.0
Rao IIT Academy,Education,Coaching Services,Mumbai,Avendus Finance,Structured Debt,8600000.0
Aye Finance,Finance,Online Lending,Gurugram,IFMR Capital,Term Loan,6240000.0
GreyAtom,Technology,Education,Mumbai,Pravega Ventures,Private Equity,1000000.0
Axio,Healthcare,Hemostatic Dressing Solutions,Bangalore,RNT Capital,Private Equity,7400000.0
eKincare,Healthcare,Technology,Hyderabad,"Ventureast, Endiya Partners, Eight Roads Ventures, Touchstone Equities, BVR Mohan Reddy",Private Equity,1500000.0
The Wedding Brigade,Consumer internet,Online Services,Mumbai,Blume Ventures,Private Equity,1000000.0
PeeSafe,Healthcare,Hygiene,Gurugram,"Shivani Singh, Rahul Maroli, Mitesh Shah, Venture Catalysts, Alfa Capital, Green Shots Capital, Real Time Ventures.",Private Equity,1000000.0
BrowserStack,Technology,Browser Testing,Mumbai,Accel Partners,Private Equity,50000000.0
Scapic,Technology,Virtual Reality,Bangalore,"Axilor Ventures, Newfort Capital",Angel / Seed Funding,500000.0
MoneyOnMobile,Technology,Mobile Payment Platform,Mumbai,Undisclosed Investors,Private Equity,7600000.0
CureFit,Healthcare,Fitness,Bangalore,"HDFC Bank, Axis Bank",Debt Funding,10000000.0
iNurture,Technology,Education Solutions,Bangalore,Ventureast,Private Equity,4400000.0
Dunzo,Technology,Daily Task Management Mobile App,Bangalore,Google,Private Equity,12300000.0
Tata Housing,Real Estate,Residential Project,Mumbai,Hines,Private Equity,23000000.0
HandyTrain,Technology,Mobile Learning Management Platform,Goa,NB Ventures,Private Equity,1000000.0
Mobycy,Technology,Bicycle sharing Platform,Gurgaon,Undisclosed Investors,Seed/Angel Funding,500000.0
Greenlight Planet,Technology,Off-grid solar products platform,Mumbai,"Apis Partner, Eight Roads Ventures, Bamboo Capital Partners",Private Equity,60000000.0
Fintobox,Technology,Child Learning & Development Platform,Chennai,Lightbox,Private Equity,7000000.0
Mswipe,Technology,Mobile point of sale services provider,Mumbai,Eduardo Saverin,Private Equity,10000000.0
The Label Life,E-Commerce,Home Decor and Online Fashion Portal,Mumbai,Kalpvriksh,Private Equity,3100000.0
Cygnus Hospitals,Healthcare,Super speciality Hospitals,Gurgaon,Somerset Indus Capital Ventures,Seed/Angel Funding,750000.0
eShakti,Ecommerce,"""Women\\'s Fashion Clothing Online Platform""",Chennai,IDG Ventures,Debt Funding,2300000.0
Inshorts,Technology,Mobile News Curation App,Noida,Tiger Global,Private Equity,5000000.0
Vahdam Tea,E-Commerce,Online Platform Selling Indian Tea Globally,Delhi,"Singapore Angel Network, Mumbai Angel",Private Equity,1500000.0
Logic Roots,Technology,Educational Platform to Learn Mathematics,Mumbai,Village Capital,Seed/Angel Funding,50000.0
Project Mudra,Technology,Assisting Visually Impaired to learn through Braille,Bangalore,Village Capital,Seed/Angel Funding,50000.0
Furlenco,Technology,Furniture Rental Platform,Bangalore,Aamir Khan,Debt Funding,1200000.0
I Can Stay,Technology,Hotel Aggregator Platform,Delhi,HT Media,Private Equity,1800000.0
Simility,Technology,Adaptive Fraud Intelligence Platform,Hyderabad,Accel Partners,Private Equity,17500000.0
Shopholix,E-Commerce,Fashion and Lifestyle Coupon Platform,Gurgaon,Munesh Khanna,Seed/Angel Funding,233000.0
MindTickle,Technology,Gamification Platform to train Sales People,Pune,Canaan Partners,Private Equity,27000000.0
Nazara Technologies,Technology,Mobile Games Development Firm,Mumbai,Rakesh Jhunjhunwala,Private Equity,27000000.0
DocsApp,Technology,Mobile Application for Doctor Consultation,Bangalore,Bessemer Venture Partners,Private Equity,7200000.0
Tea Box,E-Commerce,Fresh Indian Tea Selling Platform across 112 countries,Bangalore,RB Investments,Private Equity,7000000.0
Transversal Technologies,Technology,Hyperlocal Video Information Sharing Platform,Bangalore,Matrix Partners,Private Equity,6000000.0
Curofy,Technology,Mobile App for Network of Doctors,Gurgaon,RoundGlass Partners LLC,Seed/Angel Funding,250000.0
HomeLane,E-Commerce,Online Furniture Marketplace,Bangalore,"Accel Partners, Sequoia Capital, RB Investments",Private Equity,10000000.0
Purplle,E-Commerce,Beauty Products Online Marketplace,Mumbai,"Mountain Pain Capital, Suncoast Investments",Seed/Angel Funding,537000.0
Cash Suvidha,E-Commerce,Online Micro-Lending Platform,Delhi,,Debt Funding,2700000.0
Springboard,Technology,Online Courses and Mentoring from Experts,Bangalore,"Costanoa, Learn Capital, Jyoti Bansal",Private Equity,9500000.0
9Stacks,Technology,Online Poker Platform,Delhi,"Swati Gupta, Purnima Khandelwal, Maheshwar Peri, Sanjay Singh",Private Equity,1500000.0
Your Quote,Technology,Vernacular and Video Content Platform,Bangalore,"Axilor Ventures, E-City VEntures Atul Goel",Private Equity,1000000.0
Spandana Sphoorty,Finance,Micro finance institution providing small ticket unsecured loans to women,Hyderabad,"""Kedaraa Capital, Ontario Teachers\\'""",Private Equity,19500000.0
Indus OS,Technology,Regional Operating System for Smartphones,Mumbai,Omidyar Network,Private Equity,4000000.0
EasyEcom,E-Commerce,Ecommerce enabler platform,Bangalore,"Ambarish Gupta, Aneesh Reddy, Bold Ventures, Vona Investments",Seed/Angel Funding,150000.0
Specsmakers,E-Commerce,Online Spects Platform for Men and Women,Chennai,Eight Roads Ventures India,Private Equity,10000000.0
Foyr.com,Technology,Realty Tech Startup solving real life Interior Designing problems,Hyderabad,Jones Lang LaSalle,Private Equity,3800000.0
Prest Loans,Finance,Business & SME Loans provider,New Delhi,"Manish Poddar, Arun Garg, Parmeshwar Sharma",Seed Funding,570000.0
Vagupu,Technology,Online Tutorial Marketplace,Bangalore,Undisclosed Investors,Seed Funding,1000000.0
Kalpnik Technologies,Technology,VR based Spiritual platform,Bangalore,Venture Catalysts,Seed Funding,500000.0
Hevo Data,Technology,Real time data analytics & reporting,Bangalore,IDG Ventures India,Private Equity,1000000.0
DocTalk,Technology,Doctor Patient Communication platform,Mumbai,"Matrix Partners India, Khosla Ventures",Private Equity,5000000.0
CoveIoT,Technology,Wearable tech and Internet of Things platform,Bangalore,"Titan Co Ltd, Tata Group\\xe2\\x80\\x99s watch and jewellery retailing firm",Private Equity,5000000.0
TalentEdge,Technology,Distance Education Learning Platform,Bangalore,Lumis Partners,Private Equity,7600000.0
Fisdom,Finance,Mutual Fund Investment App,Bangalore,Quona Capital Management,Private Equity,3000000.0
FarmLink,eCommerce,Online platform for Agricultural products,Mumbai,"Pioneering Ventures, Syngenta AG",Private Equity,3000000.0
OpenApp,Technology,IoT based Tech Startup,Bangalore,"Axilor Ventures, Kumar Vembu",Private Equity,3600000.0
NoPaperForms,Technology,Enrolment Management Platform,Delhi,Info Edge,Seed Funding,872000.0
Qubole,Technology,Big Data based analytics platform,Bangalore,"Singtel, Innov8, Harmony Partners",Private Equity,25000000.0
Universal Sportsbiz Pvt. Ltd,ECommerce,Celebrity fashion accessories and merchandise,Mumbai,Accel Partners,PrivateEquity,15000000.0
Active AI,Technology,AI based FinTech platform,Bangalore,Vertex Ventures,Private Equity,8250000.0
Sumeru,Technology,Banking Software License Platform,Bangalore,Undisclosed Investors,Seed Funding,900000.0
Omnia Information,Technology,WiFi Analytics Platform,Delhi,Omidyar Network,Private Equity,3000000.0
Kanhaiya,Inspiration,Storytelling platform,Hyderabad,Undisclosed Investors,Seed/Angel Funding,200000.0
ONN Bikes,Technology,Self riding bike rental program,Mumbai,Z Nation Lab,Seed/Angel Funding,692000.0
Rapido,Technology,Bike and Taxi pooling online platform,Hyderabad,"Skycatcher Fund, Aravind Sanka",Seed/Angel Funding,329230.0
Heckyl,Technology,Big Data Analytics Platform,Mumbai,"Notion Capital, IDG Ventures",Private Equity,2700000.0
Nuvepro,Technology,Managed Cloud Environment Solutions,Mumbai,1Crowd,Seed/Angel Funding,400000.0
RedBook,Technology,AI based pharmacy drugs insights platform,Mumbai,"Vida Ventures, Dr. Aniruddha Malpani",Seed/Angel Funding,250000.0
Portea,Healthcare,Healthcare facilities at doorstep,Bangalore,"Sabre Partners, MEMG CDC",Private Equity,26000000.0
Epiq Capital,Finance,Tech based investor firm,Mumbai,Global Institutional Investors,Private Equity,200000000.0
IDG Ventures,Finance,Venture Capitalist,Bangalore,Uniliver Ventures,Private Equity,10000000.0
TempGo,Technology,IoT and SaaS based transportation platform,Goa,Javelin StartupO Victory Fund,Seed/Angel Funding,250000.0
Edelweiss,Finance,Diversified Financial,Mumbai,Undisclosed investors,Private Equity,270000000.0
ERA,Technology,Identity management platform,Mumbai,Amit Patni,Seed/Angel Funding,39000.0
Smaaash,Technology,Virtual Reality based gaming platform,Mumbai,Sixth Sense Ventures,Private Equity,3800000.0
Chumbak,Lifestyle,Designer-led consumer products,Bangalore,Gaja Capital,Private Equity,13000000.0
FR8,Technology,Online Truck aggregator platform,Chennai,IFMR Capital,Debt Funding,1500000.0
MobieFit,Healthcare,Health and fitness based mobile App,Goa,"NB Ventures, MediAssist",Seed/Angel Funding,1350000.0
Stanza Living,Technology,Student accommodation platform,Delhi,"Matrix PArtners, Accel",Private Equity,2000000.0
Ola Cabs,Consumer Internet,App based cab hailing services,Bangalore,"Tencent, Softbank Group",Private Equity,110000000.0
CollPoll,Consumer Internet,Education collaboration platform,Bangalore,Sprout Angels,Seed Funding,306000.0
PhonePe,Consumer Internet,Digital Wallet,Bangalore,Flipkart,Private Equity,38700000.0
Little Black Book,Consumer Internet,Local Recommendations and Discoveries Platform,New Delhi,"Blume Ventures, IDG Ventures & Indian Angel Network",Private Equity,1000000.0
Oorjan,Technology,rooftop solar platform,Mumbai,Globevestor,Seed Funding,450000.0
Zefo,ECommerce,Ecommerce Portal for Used Goods,Bangalore,"Sequoia India, Helion Venture Partners, Beenext",Private Equity,9200000.0
Yaantra,ECommerce,Mobile repair and Refurbishment platform,New Delhi,Carpediem Capital,Private Equity,3100000.0
Farm Taaza,Technology,Fresh Produce SCM company,Bangalore,"Epsilon Venture Partners, Tara India Fund IV and others",Private Equity,8000000.0
Drivezy,Consumer Internet,Self Drive car and bike rental platform,Bangalore,"Das Capital, Axan Partners, Das Capital and IT Farm",Private Equity,10000000.0
Slice Pay,Consumer Internet,Student Micro-financing platform,Bangalore,"Das Capital, Simile Ventures",Private Equity,2000000.0
MyGubbi,eCommerce,Home Interior Designing Seller,Bangalore,"Firoze Irani, Vipul Parekh, Ananda Kallugadde, Rajesh K Murthy",Private Equity,2700000.0
OneStepUp,Technology,Education Technology platform,New Delhi,Orient BlackSwan,Seed Funding,336000.0
Parallel Dots,Technology,AI-powered deep learning solutions,Gurgaon,"Multipoint Capital,",Private Equity,1400000.0
Easy Diner,Consumer Internet,online restaurant reservation platform,Gurgaon,Saama Capital and DSG Consumer Partners,Private Equity,4500000.0
Meesho,ECommerce,Online Reseller Network,Bangalore,"SAIF Partners, YCombinator, Venture Highway",Private Equity,3100000.0
StanPlus,Logistics,Medical Transportation Services,Hyderabad,KStart Capital,Private Equity,1100000.0
UCLID,Technology,"Education Network for Institutions, teachers & Students",Hyderabad,Undisclosed investors,Seed Funding,235000.0
Policy Bazaar,Consumer Internet,Online insurance policy aggregator,Gurgaon,"Wellington Management, DG Ventures India, True North",Private Equity,77000000.0
Gapoon,Consumer Internet,home maintenance services platform,Bangalore,"Vida Ventures, Snehal Mantri, Anshu Bahadur",Seed Funding,250000.0
